team,name,start,end,band,freq
Rockies,Rockies at Mets,2017-07-15 19:10:00-04:00,2017-07-15 22:10:00-04:00,FM,94.1
Rockies,Rockies at Mets,2017-07-16 13:10:00-04:00,2017-07-16 16:10:00-04:00,FM,94.1
Rockies,Padres at Rockies,2017-07-17 20:40:00-04:00,2017-07-17 23:40:00-04:00,FM,94.1
Rockies,Padres at Rockies,2017-07-18 20:40:00-04:00,2017-07-18 23:40:00-04:00,FM,94.1
Rockies,Padres at Rockies,2017-07-19 15:10:00-04:00,2017-07-19 18:10:00-04:00,FM,94.1
Rockies,Pirates at Rockies,2017-07-21 20:40:00-04:00,2017-07-21 23:40:00-04:00,FM,94.1
Rockies,Pirates at Rockies,2017-07-22 20:10:00-04:00,2017-07-22 23:10:00-04:00,FM,94.1
Rockies,Pirates at Rockies,2017-07-23 15:10:00-04:00,2017-07-23 18:10:00-04:00,FM,94.1
Rockies,Rockies at Cardinals,2017-07-24 20:15:00-04:00,2017-07-24 23:15:00-04:00,FM,94.1
Rockies,Rockies at Cardinals,2017-07-25 20:15:00-04:00,2017-07-25 23:15:00-04:00,FM,94.1
Rockies,Rockies at Cardinals,2017-07-26 20:15:00-04:00,2017-07-26 23:15:00-04:00,FM,94.1
Rockies,Rockies at Nationals,2017-07-28 19:05:00-04:00,2017-07-28 22:05:00-04:00,FM,94.1
Rockies,Rockies at Nationals,2017-07-29 19:05:00-04:00,2017-07-29 22:05:00-04:00,FM,94.1
Rockies,Rockies at Nationals,2017-07-30 13:35:00-04:00,2017-07-30 16:35:00-04:00,FM,94.1
Rockies,Mets at Rockies,2017-08-01 20:40:00-04:00,2017-08-01 23:40:00-04:00,FM,94.1
Rockies,Mets at Rockies,2017-08-02 20:40:00-04:00,2017-08-02 23:40:00-04:00,FM,94.1
Rockies,Mets at Rockies,2017-08-03 15:10:00-04:00,2017-08-03 18:10:00-04:00,FM,94.1
Rockies,Phillies at Rockies,2017-08-04 20:40:00-04:00,2017-08-04 23:40:00-04:00,FM,94.1
Rockies,Phillies at Rockies,2017-08-05 20:10:00-04:00,2017-08-05 23:10:00-04:00,FM,94.1
Rockies,Phillies at Rockies,2017-08-06 15:10:00-04:00,2017-08-06 18:10:00-04:00,FM,94.1
Rockies,Rockies at Indians,2017-08-08 19:10:00-04:00,2017-08-08 22:10:00-04:00,FM,94.1
Rockies,Rockies at Indians,2017-08-09 12:10:00-04:00,2017-08-09 15:10:00-04:00,FM,94.1
Rockies,Rockies at Marlins,2017-08-11 19:10:00-04:00,2017-08-11 22:10:00-04:00,FM,94.1
Rockies,Rockies at Marlins,2017-08-12 19:10:00-04:00,2017-08-12 22:10:00-04:00,FM,94.1
Rockies,Rockies at Marlins,2017-08-13 13:10:00-04:00,2017-08-13 16:10:00-04:00,FM,94.1
Rockies,Braves at Rockies,2017-08-14 20:40:00-04:00,2017-08-14 23:40:00-04:00,FM,94.1
Rockies,Braves at Rockies,2017-08-15 20:40:00-04:00,2017-08-15 23:40:00-04:00,FM,94.1
Rockies,Braves at Rockies,2017-08-16 20:40:00-04:00,2017-08-16 23:40:00-04:00,FM,94.1
Rockies,Braves at Rockies,2017-08-17 15:10:00-04:00,2017-08-17 18:10:00-04:00,FM,94.1
Rockies,Brewers at Rockies,2017-08-18 20:40:00-04:00,2017-08-18 23:40:00-04:00,FM,94.1
Rockies,Brewers at Rockies,2017-08-19 20:10:00-04:00,2017-08-19 23:10:00-04:00,FM,94.1
Rockies,Brewers at Rockies,2017-08-20 15:10:00-04:00,2017-08-20 18:10:00-04:00,FM,94.1
Rockies,Rockies at Royals,2017-08-22 20:15:00-04:00,2017-08-22 23:15:00-04:00,FM,94.1
Rockies,Rockies at Royals,2017-08-23 20:15:00-04:00,2017-08-23 23:15:00-04:00,FM,94.1
Rockies,Rockies at Royals,2017-08-24 14:15:00-04:00,2017-08-24 17:15:00-04:00,FM,94.1
