START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
05/10/17,01:10 PM,03:10 PM,Cubs at Rockies,Coors Field - Denver,"",05/10/17,05/10/17,04:10 PM,06:10 PM,FALSE,TRUE,05/10/17,12:10 PM,02:10 PM,FREE,BUSY
05/11/17,06:40 PM,08:40 PM,Dodgers at Rockies,Coors Field - Denver,"",05/11/17,05/11/17,09:40 PM,11:40 PM,FALSE,TRUE,05/11/17,05:40 PM,07:40 PM,FREE,BUSY
05/12/17,06:40 PM,08:40 PM,Dodgers at Rockies,Coors Field - Denver,"",05/12/17,05/12/17,09:40 PM,11:40 PM,FALSE,TRUE,05/12/17,05:40 PM,07:40 PM,FREE,BUSY
05/13/17,06:10 PM,08:10 PM,Dodgers at Rockies,Coors Field - Denver,"",05/13/17,05/13/17,09:10 PM,11:10 PM,FALSE,TRUE,05/13/17,05:10 PM,07:10 PM,FREE,BUSY
05/14/17,01:10 PM,03:10 PM,Dodgers at Rockies,Coors Field - Denver,"",05/14/17,05/14/17,04:10 PM,06:10 PM,FALSE,TRUE,05/14/17,12:10 PM,02:10 PM,FREE,BUSY
05/16/17,06:10 PM,08:10 PM,Rockies at Twins,Target Field - Minneapolis,"",05/16/17,05/16/17,09:10 PM,11:10 PM,FALSE,TRUE,05/16/17,05:10 PM,07:10 PM,FREE,BUSY
05/17/17,06:10 PM,08:10 PM,Rockies at Twins,Target Field - Minneapolis,"",05/17/17,05/17/17,09:10 PM,11:10 PM,FALSE,TRUE,05/17/17,05:10 PM,07:10 PM,FREE,BUSY
05/18/17,11:10 AM,01:10 PM,Rockies at Twins,Target Field - Minneapolis,"",05/18/17,05/18/17,02:10 PM,04:10 PM,FALSE,TRUE,05/18/17,10:10 AM,12:10 PM,FREE,BUSY
05/19/17,05:10 PM,07:10 PM,Rockies at Reds,Great American Ball Park - Cincinnati,"",05/19/17,05/19/17,08:10 PM,10:10 PM,FALSE,TRUE,05/19/17,04:10 PM,06:10 PM,FREE,BUSY
05/20/17,02:10 PM,04:10 PM,Rockies at Reds,Great American Ball Park - Cincinnati,"",05/20/17,05/20/17,05:10 PM,07:10 PM,FALSE,TRUE,05/20/17,01:10 PM,03:10 PM,FREE,BUSY
05/21/17,11:10 AM,01:10 PM,Rockies at Reds,Great American Ball Park - Cincinnati,"",05/21/17,05/21/17,02:10 PM,04:10 PM,FALSE,TRUE,05/21/17,10:10 AM,12:10 PM,FREE,BUSY
05/22/17,05:05 PM,07:05 PM,Rockies at Phillies,Citizens Bank Park - Philadelphia,"",05/22/17,05/22/17,08:05 PM,10:05 PM,FALSE,TRUE,05/22/17,04:05 PM,06:05 PM,FREE,BUSY
05/23/17,05:05 PM,07:05 PM,Rockies at Phillies,Citizens Bank Park - Philadelphia,"",05/23/17,05/23/17,08:05 PM,10:05 PM,FALSE,TRUE,05/23/17,04:05 PM,06:05 PM,FREE,BUSY
05/24/17,05:05 PM,07:05 PM,Rockies at Phillies,Citizens Bank Park - Philadelphia,"",05/24/17,05/24/17,08:05 PM,10:05 PM,FALSE,TRUE,05/24/17,04:05 PM,06:05 PM,FREE,BUSY
